Volume,vw,Open,Close,High,Low,timestamp,n
15053.993768,118.4984,118.5201,118.42,118.5201,118.42,2026-07-31 17:52:00,221
6181.01,118.4322,118.42,118.43,118.465,118.41,2026-07-31 17:53:00,148
6659.0,118.4625,118.439,118.47,118.51,118.415,2026-07-31 17:54:00,180
7700.089337,118.5074,118.485,118.52,118.555,118.485,2026-07-31 17:55:00,115
9332.201951,118.4899,118.51,118.485,118.53,118.45,2026-07-31 17:56:00,180
17702.05871,118.4305,118.47,118.345,118.48,118.32,2026-07-31 17:57:00,324
17332.614221,118.3288,118.3,118.33,118.365,118.3,2026-07-31 17:58:00,217
10006.72355,118.2805,118.32,118.26,118.32,118.235,2026-07-31 17:59:00,243
17778.54447,118.2892,118.26,118.29,118.35,118.24,2026-07-31 18:00:00,335
13958.850543,118.2602,118.285,118.2,118.3,118.2,2026-07-31 18:01:00,270
18114.63889,118.2027,118.2,118.22,118.275,118.12,2026-07-31 18:02:00,271
57796.451853,118.0518,118.252,118.015,118.252,117.97,2026-07-31 18:03:00,818
40432.22035,118.0674,118.015,118.04,118.11,118.015,2026-07-31 18:04:00,528
22372.544868,117.9962,118.06,117.98,118.065,117.94,2026-07-31 18:05:00,319
22256.262698,118.0043,117.98,118.055,118.055,117.95,2026-07-31 18:06:00,376
10498.864404,118.0276,118.05,117.96,118.07,117.955,2026-07-31 18:07:00,209
15602.136528,117.9015,117.95,117.875,117.97,117.792,2026-07-31 18:08:00,315
33082.26247,117.9394,117.88,118.05,118.055,117.82,2026-07-31 18:09:00,464
13830.211,118.0829,118.065,118.13,118.14,118.02,2026-07-31 18:10:00,289
8950.25146,118.0784,118.13,118.035,118.13,118.03,2026-07-31 18:11:00,161
15754.386561,117.9986,118.03,118.035,118.035,117.945,2026-07-31 18:12:00,342
8066.378639,118.069,118.04,118.14,118.14,118.02,2026-07-31 18:13:00,202
16146.00847,118.0978,118.145,118.04,118.1861,117.995,2026-07-31 18:14:00,297
9293.138256,118.0693,118.025,118.1,118.11,118.025,2026-07-31 18:15:00,200
30189.23993,118.1041,118.08,118.06,118.19,118.05,2026-07-31 18:16:00,431
11623.814908,118.0961,118.03,118.155,118.1625,118.03,2026-07-31 18:17:00,224
6442.10513,118.1592,118.155,118.21,118.21,118.12,2026-07-31 18:18:00,134
